method,argument,data_type,distance_basis,response_aware,engine
gifi_chi2,method_cat,categorical,association,TRUE,manydist
le_and_ho,method_cat,categorical,association,TRUE,manydist
tvd,method_cat,categorical,association,TRUE,manydist
additive_symm,method_cat,categorical,association,TRUE,philentropy
avg,method_cat,categorical,association,TRUE,philentropy
bhattacharyya,method_cat,categorical,association,TRUE,philentropy
canberra,method_cat,categorical,association,TRUE,philentropy
chebyshev,method_cat,categorical,association,TRUE,philentropy
clark,method_cat,categorical,association,TRUE,philentropy
cosine,method_cat,categorical,association,TRUE,philentropy
czekanowski,method_cat,categorical,association,TRUE,philentropy
dice,method_cat,categorical,association,TRUE,philentropy
divergence,method_cat,categorical,association,TRUE,philentropy
euclidean,method_cat,categorical,association,TRUE,philentropy
fidelity,method_cat,categorical,association,TRUE,philentropy
gower,method_cat,categorical,association,TRUE,philentropy
harmonic_mean,method_cat,categorical,association,TRUE,philentropy
hassebrook,method_cat,categorical,association,TRUE,philentropy
hellinger,method_cat,categorical,association,TRUE,philentropy
inner_product,method_cat,categorical,association,TRUE,philentropy
intersection,method_cat,categorical,association,TRUE,philentropy
jaccard,method_cat,categorical,association,TRUE,philentropy
jeffreys,method_cat,categorical,association,TRUE,philentropy
jensen-shannon,method_cat,categorical,association,TRUE,philentropy
jensen_difference,method_cat,categorical,association,TRUE,philentropy
k_divergence,method_cat,categorical,association,TRUE,philentropy
kulczynski_d,method_cat,categorical,association,TRUE,philentropy
kulczynski_s,method_cat,categorical,association,TRUE,philentropy
kullback-leibler,method_cat,categorical,association,TRUE,philentropy
kumar-johnson,method_cat,categorical,association,TRUE,philentropy
lorentzian,method_cat,categorical,association,TRUE,philentropy
manhattan,method_cat,categorical,association,TRUE,philentropy
matusita,method_cat,categorical,association,TRUE,philentropy
minkowski,method_cat,categorical,association,TRUE,philentropy
motyka,method_cat,categorical,association,TRUE,philentropy
neyman,method_cat,categorical,association,TRUE,philentropy
non-intersection,method_cat,categorical,association,TRUE,philentropy
pearson,method_cat,categorical,association,TRUE,philentropy
prob_symm,method_cat,categorical,association,TRUE,philentropy
ruzicka,method_cat,categorical,association,TRUE,philentropy
soergel,method_cat,categorical,association,TRUE,philentropy
sorensen,method_cat,categorical,association,TRUE,philentropy
squared_chi,method_cat,categorical,association,TRUE,philentropy
squared_chord,method_cat,categorical,association,TRUE,philentropy
squared_euclidean,method_cat,categorical,association,TRUE,philentropy
taneja,method_cat,categorical,association,TRUE,philentropy
tanimoto,method_cat,categorical,association,TRUE,philentropy
topsoe,method_cat,categorical,association,TRUE,philentropy
wavehedges,method_cat,categorical,association,TRUE,philentropy
eskin,method_cat,categorical,independence,FALSE,manydist
goodall_3,method_cat,categorical,independence,FALSE,manydist
goodall_4,method_cat,categorical,independence,FALSE,manydist
iof,method_cat,categorical,independence,FALSE,manydist
lin,method_cat,categorical,independence,FALSE,manydist
matching,method_cat,categorical,independence,FALSE,manydist
of,method_cat,categorical,independence,FALSE,manydist
var_entropy,method_cat,categorical,independence,FALSE,manydist
var_mutability,method_cat,categorical,independence,FALSE,manydist
HL,method_cat,categorical,indicator_scaling,FALSE,manydist
HLeucl,method_cat,categorical,indicator_scaling,FALSE,manydist
cat_dis,method_cat,categorical,indicator_scaling,FALSE,manydist
mca,method_cat,categorical,indicator_scaling,FALSE,manydist
none,method_cat,categorical,indicator_scaling,FALSE,manydist
st_dev,method_cat,categorical,indicator_scaling,FALSE,manydist
none,method_num,numeric,numeric_preprocessing,FALSE,manydist
pc_scores,method_num,numeric,numeric_preprocessing,FALSE,manydist
range,method_num,numeric,numeric_preprocessing,FALSE,manydist
robust,method_num,numeric,numeric_preprocessing,FALSE,manydist
std,method_num,numeric,numeric_preprocessing,FALSE,manydist
euclidean,preset,mixed,mixed_block,FALSE,manydist
gower,preset,mixed,mixed_block,FALSE,manydist
hl,preset,mixed,mixed_block,FALSE,manydist
u_dep,preset,mixed,mixed_block,TRUE,manydist
u_indep,preset,mixed,mixed_block,FALSE,manydist
u_mix,preset,mixed,mixed_block,TRUE,manydist
dkss,preset,mixed,mixed_block,FALSE,kdml
gudmm,preset,mixed,mixed_block,FALSE,external_port
mod_gower,preset,mixed,mixed_block,FALSE,external_port
custom,preset,mixed,user_defined,FALSE,manydist
