"task_id","scenario","condition_id","replicate","data_seed","setting_id","n","k","prop_nn","rho","numeric_block_weight","method","method_label","affinity","ARI","objective","iterations","ifault","affinity_scale","affinity_neighbor_rank","distance_seconds","clustering_seconds","error","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",0.342575863015623,19.8418806379689,2,0,6.4517189251877,NA,5.101,0.0249999999999986,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",0.248413026211279,17.2851845665755,2,0,4.09567969879809,7,5.101,0.00799999999999912,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.342575863015623,19.8418806379689,2,0,6.4517189251877,NA,5.101,0.004999999999999,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",0.248413026211279,17.2851845665755,2,0,4.09567969879809,7,5.101,0.00600000000000023,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",0.118712096429201,18.9040028683892,2,0,6.97993628286669,NA,0.807,0.00399999999999956,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",0.285563300535997,15.1773982260952,2,0,4.3675084067455,7,0.807,0.00600000000000023,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",0.506727314425503,14.6837034359815,3,0,0.420816933228502,NA,0.119,0.00399999999999956,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",0.579950701578951,12.3279157718023,2,0,0.251172064498178,7,0.119,0.00500000000000078,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",0.482970596300146,13.7856503706127,2,0,5.99292817679309,NA,0.263,0.00399999999999956,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",0.555791406115541,12.8362341039942,2,0,4.5225676617189,7,0.263,0.00600000000000023,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",0.658908154090437,14.4569967249332,3,0,0.540531301651725,NA,0.388,0.00399999999999956,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",0.630968834990414,12.048743039134,2,0,0.359933755574483,7,0.388,0.00600000000000023,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
1,"corrected_marginal_overlap",1,1,26191901,1,90,3,0.1,0.25,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",0.370209486442934,16.8659526848208,2,0,0.627771228226531,NA,0.754,0.00399999999999956,NA,"0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4"
