"replicate","data_seed","variable","gate_p_value","gate_statistic","baseline_alignment_ratio","gated_alignment_ratio","leave_one_out_alignment_ratio","leave_one_out_standardized_contrast","leave_one_out_partition_ARI_to_gated","leave_one_out_ARI_to_truth"
1,26092201,"C1",0.01,0.70603354978355,1.29563773766902,1.8520951702791,1.8520951702791,0.527978549650387,1,0.726781286841888
1,26092201,"C2",0.01,0.525,1.35748564846748,1.99452308904551,1.99452308904551,0.568192725036272,1,0.726781286841888
1,26092201,"C3",0.01,0.618333058502354,1.53329296594382,2.37826840441223,2.37826840441223,0.65325292823787,1,0.726781286841888
1,26092201,"C4",0.01,0.549411933448078,1.42622097554967,2.26508514919041,2.26508514919041,0.63552602941689,1,0.726781286841888
1,26092201,"C5",0.01,0.595075215216277,1.43634151006137,2.19734479961147,2.19734479961147,0.62403699286769,1,0.726781286841888
1,26092201,"C6",0.01,0.515598411798071,1.43320516777791,1.975347512197,1.975347512197,0.550750359781357,1,0.726781286841888
1,26092201,"C7",0.01,0.62681475029036,1.51880789263953,2.29491029334736,2.26332792542502,0.628278120960246,0.995727725465994,0.726755996876755
1,26092201,"C8",0.01,0.443588284980435,1.30755954986823,1.96401595130856,1.96401595130856,0.561017497587732,1,0.726781286841888
1,26092201,"C9",0.01,0.468982248722899,1.28860494718045,1.87640203874849,1.87640203874849,0.532505225964571,1,0.726781286841888
1,26092201,"C10",0.01,0.543614695719625,1.3806377010743,2.03670352597298,2.03670352597298,0.574635869938621,1,0.726781286841888
1,26092201,"C11",0.01,0.54273982829414,1.42234603381351,2.19687446888331,2.19687446888331,0.620755155669789,1,0.726781286841888
1,26092201,"C12",0.01,0.558241758241758,1.37537562537245,2.11624037698198,2.11624037698198,0.602081002196383,1,0.726781286841888
1,26092201,"C13",0.01,0.504334067143643,1.30255345205585,1.93556782619673,1.93556782619673,0.551748287734825,1,0.726781286841888
1,26092201,"C14",0.01,0.496010296010296,1.34552805934738,1.90958120251724,1.90958120251724,0.543119149818413,1,0.726781286841888
