"configuration","bandwidth_multiplier","ARI_gated","ARI_no_interaction","gated_minus_no_interaction","best_external_method","best_external_ARI","gated_minus_best_external","gated_is_best"
"reference",0.5,0.903608745979847,0.50115732833867,0.402451417641177,"gower",0.6555278106402,0.248080935339647,TRUE
"reference",1,0.904856510386762,0.489885570925104,0.414970939461658,"modified_gower",0.628660677736719,0.276195832650043,TRUE
"reference",2,0.904856510386762,0.355736499192864,0.549120011193897,"modified_gower",0.631785707186231,0.273070803200531,TRUE
"numeric_medium",0.5,0.903608745979847,0.47860783744396,0.425000908535887,"standardized_euclidean_onehot",0.801421914369057,0.10218683161079,TRUE
"numeric_medium",1,0.904336819665579,0.475077508790909,0.429259310874669,"standardized_euclidean_onehot",0.597723433117832,0.306613386547747,TRUE
"numeric_medium",2,0.904336819665579,0.395710807939741,0.508626011725838,"standardized_euclidean_onehot",0.493071727933878,0.411265091731701,TRUE
"numeric_high",0.5,0.903920849979541,0.556321174240815,0.347599675738726,"standardized_euclidean_onehot",0.867529452808416,0.0363913971711253,TRUE
"numeric_high",1,0.815862708283804,0.689123954419064,0.12673875386474,"standardized_euclidean_onehot",0.573957227395208,0.241905480888597,TRUE
"numeric_high",2,0.893528865993354,0.766060711656197,0.127468154337157,"standardized_euclidean_onehot",0.597723433117832,0.295805432875522,TRUE
"categorical_high",0.5,0.903608745979847,0.50115732833867,0.402451417641177,"modified_gower",0.59539651729784,0.308212228682007,TRUE
"categorical_high",1,0.904856510386762,0.489885570925104,0.414970939461658,"modified_gower",0.628660677736719,0.276195832650043,TRUE
"categorical_high",2,0.904856510386762,0.355736499192864,0.549120011193897,"modified_gower",0.631785707186231,0.273070803200531,TRUE
"joint_high",0.5,0.903920849979541,0.556321174240815,0.347599675738726,"gower",0.631168547126255,0.272752302853286,TRUE
"joint_high",1,0.815862708283804,0.689123954419064,0.12673875386474,"gower",0.626084201125925,0.189778507157879,TRUE
"joint_high",2,0.893528865993354,0.766060711656197,0.127468154337157,"gower",0.628189401767571,0.265339464225782,TRUE
