"configuration","interaction_state","replicate","affinity","ARI_gated","ARI_no_interaction","ARI_gain","active_count","numeric_mean_distinct","added_mean_distinct","added_to_numeric_mean_ratio"
"reference","signal",1,"gaussian",0.904856510386762,0.489885570925104,0.414970939461658,1,2.23803796692929,1.24370076435206,0.555710306406678
"reference","signal",1,"selftune",1,0.453112445232999,0.546887554767001,1,2.23803796692929,1.24370076435206,0.555710306406678
"reference","null",1,"gaussian",0.489885570925104,0.489885570925104,0,0,2.23803796692929,0,0
"reference","null",1,"selftune",0.453112445232999,0.453112445232999,0,0,2.23803796692929,0,0
"numeric_medium","signal",1,"gaussian",0.904336819665579,0.475077508790909,0.429259310874669,1,4.02681924686134,2.24559669421069,0.557660167130918
"numeric_medium","signal",1,"selftune",1,0.456268934568248,0.543731065431752,1,4.02681924686134,2.24559669421069,0.557660167130918
"numeric_medium","null",1,"gaussian",0.475077508790909,0.475077508790909,0,0,4.02681924686134,0,0
"numeric_medium","null",1,"selftune",0.456268934568248,0.456268934568248,0,0,4.02681924686134,0,0
"numeric_high","signal",1,"gaussian",0.815862708283804,0.689123954419064,0.12673875386474,1,5.30832888364451,2.99720965101601,0.564623955431757
"numeric_high","signal",1,"selftune",1,0.486302952297361,0.513697047702639,1,5.30832888364451,2.99720965101601,0.564623955431757
"numeric_high","null",1,"gaussian",0.689123954419064,0.689123954419064,0,0,5.30832888364451,0,0
"numeric_high","null",1,"selftune",0.486302952297361,0.486302952297361,0,0,5.30832888364451,0,0
"categorical_high","signal",1,"gaussian",0.904856510386762,0.489885570925104,0.414970939461658,1,2.23803796692929,1.24370076435206,0.555710306406678
"categorical_high","signal",1,"selftune",1,0.453112445232999,0.546887554767001,1,2.23803796692929,1.24370076435206,0.555710306406678
"categorical_high","null",1,"gaussian",0.489885570925104,0.489885570925104,0,0,2.23803796692929,0,0
"categorical_high","null",1,"selftune",0.453112445232999,0.453112445232999,0,0,2.23803796692929,0,0
"joint_high","signal",1,"gaussian",0.815862708283804,0.689123954419064,0.12673875386474,1,5.30832888364451,2.99720965101601,0.564623955431757
"joint_high","signal",1,"selftune",1,0.486302952297361,0.513697047702639,1,5.30832888364451,2.99720965101601,0.564623955431757
"joint_high","null",1,"gaussian",0.689123954419064,0.689123954419064,0,0,5.30832888364451,0,0
"joint_high","null",1,"selftune",0.486302952297361,0.486302952297361,0,0,5.30832888364451,0,0
