"configuration","interaction_state","replicate","categorical_variable","detected","p_value","statistic","active_count","numeric_mean_distinct","added_mean_distinct","added_to_numeric_mean_ratio"
"reference","signal",1,"band",TRUE,0.01,1,1,2.23803796692929,1.24370076435206,0.555710306406678
"reference","signal",1,"nuisance_1",FALSE,1,0,1,2.23803796692929,1.24370076435206,0.555710306406678
"reference","null",1,"band",FALSE,0.61,0.0864197530864197,0,2.23803796692929,0,0
"reference","null",1,"nuisance_1",FALSE,0.8,0.05,0,2.23803796692929,0,0
"numeric_medium","signal",1,"band",TRUE,0.01,1,1,4.02681924686134,2.24559669421069,0.557660167130918
"numeric_medium","signal",1,"nuisance_1",FALSE,0.93,0.0083333333333333,1,4.02681924686134,2.24559669421069,0.557660167130918
"numeric_medium","null",1,"band",FALSE,0.7,0.0617283950617284,0,4.02681924686134,0,0
"numeric_medium","null",1,"nuisance_1",FALSE,0.72,0.0583333333333333,0,4.02681924686134,0,0
"numeric_high","signal",1,"band",TRUE,0.01,1,1,5.30832888364451,2.99720965101601,0.564623955431757
"numeric_high","signal",1,"nuisance_1",FALSE,1,0,1,5.30832888364451,2.99720965101601,0.564623955431757
"numeric_high","null",1,"band",FALSE,0.45,0.117283950617284,0,5.30832888364451,0,0
"numeric_high","null",1,"nuisance_1",FALSE,0.5,0.108333333333333,0,5.30832888364451,0,0
"categorical_high","signal",1,"band",TRUE,0.01,1,1,2.23803796692929,1.24370076435206,0.555710306406678
"categorical_high","signal",1,"nuisance_1",FALSE,1,0,1,2.23803796692929,1.24370076435206,0.555710306406678
"categorical_high","signal",1,"nuisance_2",FALSE,1,0,1,2.23803796692929,1.24370076435206,0.555710306406678
"categorical_high","signal",1,"nuisance_3",FALSE,1,0,1,2.23803796692929,1.24370076435206,0.555710306406678
"categorical_high","signal",1,"nuisance_4",FALSE,1,0,1,2.23803796692929,1.24370076435206,0.555710306406678
"categorical_high","null",1,"band",FALSE,0.84,0.0864197530864197,0,2.23803796692929,0,0
"categorical_high","null",1,"nuisance_1",FALSE,0.96,0.05,0,2.23803796692929,0,0
"categorical_high","null",1,"nuisance_2",FALSE,0.94,0.0666666666666667,0,2.23803796692929,0,0
"categorical_high","null",1,"nuisance_3",FALSE,0.2,0.191666666666667,0,2.23803796692929,0,0
"categorical_high","null",1,"nuisance_4",FALSE,1,0,0,2.23803796692929,0,0
"joint_high","signal",1,"band",TRUE,0.01,1,1,5.30832888364451,2.99720965101601,0.564623955431757
"joint_high","signal",1,"nuisance_1",FALSE,1,0,1,5.30832888364451,2.99720965101601,0.564623955431757
"joint_high","signal",1,"nuisance_2",FALSE,1,0,1,5.30832888364451,2.99720965101601,0.564623955431757
"joint_high","signal",1,"nuisance_3",FALSE,1,0,1,5.30832888364451,2.99720965101601,0.564623955431757
"joint_high","signal",1,"nuisance_4",FALSE,1,0,1,5.30832888364451,2.99720965101601,0.564623955431757
"joint_high","null",1,"band",FALSE,0.63,0.117283950617284,0,5.30832888364451,0,0
"joint_high","null",1,"nuisance_1",FALSE,0.73,0.108333333333333,0,5.30832888364451,0,0
"joint_high","null",1,"nuisance_2",FALSE,0.97,0.0416666666666665,0,5.30832888364451,0,0
"joint_high","null",1,"nuisance_3",FALSE,0.61,0.125,0,5.30832888364451,0,0
"joint_high","null",1,"nuisance_4",FALSE,1,0,0,5.30832888364451,0,0
