"configuration","interaction_state","replicate","data_seed","n","p_numeric","q_categorical","method","affinity","ARI","ifault","distance_seconds","clustering_seconds"
"reference","signal",1,26092100,360,2,2,"ab_gated","gaussian",0.904856510386762,0,6.998,0.100999999999999
"reference","signal",1,26092100,360,2,2,"ab_gated","selftune",1,0,6.998,0.0899999999999999
"reference","signal",1,26092100,360,2,2,"ab_no_interaction","gaussian",0.489885570925104,0,0.449,0.0959999999999983
"reference","signal",1,26092100,360,2,2,"ab_no_interaction","selftune",0.453112445232999,0,0.449,0.0890000000000004
"reference","signal",1,26092100,360,2,2,"gower","gaussian",0.19860049597079,0,0.0719999999999992,0.0730000000000004
"reference","signal",1,26092100,360,2,2,"gower","selftune",0.181299885974914,0,0.0719999999999992,0.0820000000000007
"reference","signal",1,26092100,360,2,2,"modified_gower","gaussian",0.628660677736719,0,0.365,0.0779999999999994
"reference","signal",1,26092100,360,2,2,"modified_gower","selftune",1,0,0.365,0.536000000000001
"reference","signal",1,26092100,360,2,2,"standardized_euclidean_onehot","gaussian",0.509633706911344,0,0.0839999999999996,0.100999999999999
"reference","signal",1,26092100,360,2,2,"standardized_euclidean_onehot","selftune",0.254670777058504,0,0.0839999999999996,0.103999999999999
"reference","null",1,26092100,360,2,2,"ab_gated","gaussian",0.489885570925104,0,6.267,0.140000000000001
"reference","null",1,26092100,360,2,2,"ab_gated","selftune",0.453112445232999,0,6.267,0.104999999999999
"reference","null",1,26092100,360,2,2,"ab_no_interaction","gaussian",0.489885570925104,0,0.449,0.103000000000002
"reference","null",1,26092100,360,2,2,"ab_no_interaction","selftune",0.453112445232999,0,0.449,0.299
"reference","null",1,26092100,360,2,2,"gower","gaussian",-0.0021167248770101,0,0.231,0.0739999999999998
"reference","null",1,26092100,360,2,2,"gower","selftune",-0.00353399448339757,0,0.231,0.218
"reference","null",1,26092100,360,2,2,"modified_gower","gaussian",0.522396149498887,0,0.433000000000002,0.0830000000000002
"reference","null",1,26092100,360,2,2,"modified_gower","selftune",0.485549803941526,0,0.433000000000002,0.0779999999999994
"reference","null",1,26092100,360,2,2,"standardized_euclidean_onehot","gaussian",-0.0021167248770101,0,0.123999999999999,0.424999999999999
"reference","null",1,26092100,360,2,2,"standardized_euclidean_onehot","selftune",-0.00353399448339757,0,0.123999999999999,0.122999999999999
"numeric_medium","signal",1,26092100,360,6,2,"ab_gated","gaussian",0.904336819665579,0,13.445,0.121000000000002
"numeric_medium","signal",1,26092100,360,6,2,"ab_gated","selftune",1,0,13.445,0.128
"numeric_medium","signal",1,26092100,360,6,2,"ab_no_interaction","gaussian",0.475077508790909,0,1.691,0.0910000000000011
"numeric_medium","signal",1,26092100,360,6,2,"ab_no_interaction","selftune",0.456268934568248,0,1.691,0.175000000000001
"numeric_medium","signal",1,26092100,360,6,2,"gower","gaussian",0.55185907495792,0,0.114000000000001,0.106999999999999
"numeric_medium","signal",1,26092100,360,6,2,"gower","selftune",0.557697275599626,0,0.114000000000001,0.0850000000000009
"numeric_medium","signal",1,26092100,360,6,2,"modified_gower","gaussian",0.533789652372044,0,0.707999999999998,0.103999999999999
"numeric_medium","signal",1,26092100,360,6,2,"modified_gower","selftune",1,0,0.707999999999998,0.125
"numeric_medium","signal",1,26092100,360,6,2,"standardized_euclidean_onehot","gaussian",0.597723433117832,0,0.785,0.0960000000000001
"numeric_medium","signal",1,26092100,360,6,2,"standardized_euclidean_onehot","selftune",0.36802477252964,0,0.785,0.115000000000002
