"scenario","replicate","seed","n","prop_nn","method","affinity","ARI","error"
"interaction_moons",1,20261018,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",1,20261018,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",1,20261018,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",1,20261018,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",1,20261018,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",1,20261018,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",1,20261018,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",2,20261118,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",2,20261118,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",2,20261118,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",2,20261118,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",2,20261118,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",2,20261118,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",2,20261118,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",2,20261118,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",2,20261118,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",2,20261118,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",2,20261118,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",2,20261118,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",3,20261218,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",3,20261218,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",3,20261218,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",3,20261218,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",3,20261218,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",3,20261218,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",3,20261218,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",3,20261218,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",3,20261218,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",3,20261218,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",3,20261218,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",3,20261218,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",4,20261318,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",4,20261318,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",4,20261318,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",4,20261318,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",4,20261318,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",4,20261318,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",4,20261318,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",4,20261318,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",4,20261318,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",4,20261318,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",4,20261318,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",4,20261318,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",5,20261418,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",5,20261418,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",5,20261418,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",5,20261418,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",5,20261418,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",5,20261418,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",5,20261418,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",5,20261418,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",5,20261418,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",5,20261418,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",5,20261418,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",5,20261418,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",6,20261518,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",6,20261518,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",6,20261518,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",6,20261518,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",6,20261518,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",6,20261518,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",6,20261518,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",6,20261518,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",6,20261518,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",6,20261518,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",6,20261518,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",6,20261518,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",7,20261618,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",7,20261618,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",7,20261618,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",7,20261618,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",7,20261618,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",7,20261618,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",7,20261618,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",7,20261618,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",7,20261618,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",7,20261618,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"null_interaction",7,20261618,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"null_interaction",7,20261618,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
