"diagnostic_key","variable","statistic","p_value","detected","permutations","alpha","seed"
"interaction_moons_1_nn0.05","band",1,0.01,TRUE,99,0.01,20272023
"interaction_moons_1_nn0.05","nuisance",0.1,0.65,FALSE,99,0.01,20272023
"interaction_moons_1_nn0.10","band",1,0.01,TRUE,99,0.01,20272028
"interaction_moons_1_nn0.10","nuisance",0,1,FALSE,99,0.01,20272028
"interaction_moons_1_nn0.20","band",0.983333333333333,0.01,TRUE,99,0.01,20272038
"interaction_moons_1_nn0.20","nuisance",0,1,FALSE,99,0.01,20272038
"null_interaction_1_nn0.05","band",0.0333333333333334,0.88,FALSE,99,0.01,20273023
"null_interaction_1_nn0.05","nuisance",0.0833333333333335,0.74,FALSE,99,0.01,20273023
"null_interaction_1_nn0.10","band",0,1,FALSE,99,0.01,20273028
"null_interaction_1_nn0.10","nuisance",0,1,FALSE,99,0.01,20273028
"null_interaction_1_nn0.20","band",0,1,FALSE,99,0.01,20273038
"null_interaction_1_nn0.20","nuisance",0,1,FALSE,99,0.01,20273038
"marginal_signal_control_1_nn0.05","CatSig_1",0.982456140350877,0.01,TRUE,99,0.01,20274023
"marginal_signal_control_1_nn0.05","CatSig_2",0.804188829787234,0.01,TRUE,99,0.01,20274023
"marginal_signal_control_1_nn0.05","CatSig_3",1,0.01,TRUE,99,0.01,20274023
"marginal_signal_control_1_nn0.05","CatNoise_1",0.222222222222222,0.48,FALSE,99,0.01,20274023
"marginal_signal_control_1_nn0.05","CatNoise_2",0.125541125541126,0.97,FALSE,99,0.01,20274023
"marginal_signal_control_1_nn0.10","CatSig_1",0.982456140350877,0.01,TRUE,99,0.01,20274028
"marginal_signal_control_1_nn0.10","CatSig_2",0.814162234042553,0.01,TRUE,99,0.01,20274028
"marginal_signal_control_1_nn0.10","CatSig_3",1,0.01,TRUE,99,0.01,20274028
"marginal_signal_control_1_nn0.10","CatNoise_1",0.116625310173697,0.91,FALSE,99,0.01,20274028
"marginal_signal_control_1_nn0.10","CatNoise_2",0.0211038961038961,1,FALSE,99,0.01,20274028
"marginal_signal_control_1_nn0.20","CatSig_1",0.982456140350877,0.01,TRUE,99,0.01,20274038
"marginal_signal_control_1_nn0.20","CatSig_2",0.829787234042553,0.01,TRUE,99,0.01,20274038
"marginal_signal_control_1_nn0.20","CatSig_3",1,0.01,TRUE,99,0.01,20274038
"marginal_signal_control_1_nn0.20","CatNoise_1",0.155925155925156,0.74,FALSE,99,0.01,20274038
"marginal_signal_control_1_nn0.20","CatNoise_2",0.0387700534759359,1,FALSE,99,0.01,20274038
"interaction_moons_2_nn0.05","band",1,0.01,TRUE,99,0.01,20272123
"interaction_moons_2_nn0.05","nuisance",0.0833333333333335,0.72,FALSE,99,0.01,20272123
"interaction_moons_2_nn0.10","band",1,0.01,TRUE,99,0.01,20272128
"interaction_moons_2_nn0.10","nuisance",0,1,FALSE,99,0.01,20272128
"interaction_moons_2_nn0.20","band",1,0.01,TRUE,99,0.01,20272138
"interaction_moons_2_nn0.20","nuisance",0,1,FALSE,99,0.01,20272138
"null_interaction_2_nn0.05","band",0.133333333333333,0.53,FALSE,99,0.01,20273123
"null_interaction_2_nn0.05","nuisance",0,1,FALSE,99,0.01,20273123
"null_interaction_2_nn0.10","band",0,1,FALSE,99,0.01,20273128
"null_interaction_2_nn0.10","nuisance",0.1,0.64,FALSE,99,0.01,20273128
"null_interaction_2_nn0.20","band",0,1,FALSE,99,0.01,20273138
"null_interaction_2_nn0.20","nuisance",0,1,FALSE,99,0.01,20273138
"marginal_signal_control_2_nn0.05","CatSig_1",0.983606557377049,0.01,TRUE,99,0.01,20274123
"marginal_signal_control_2_nn0.05","CatSig_2",1,0.01,TRUE,99,0.01,20274123
