"scenario","replicate","seed","n","prop_nn","method","affinity","ARI","error"
"interaction_moons",1,20261018,180,0.05,"AB_BW_R1_interaction","gaussian",0.948918128356962,NA
"interaction_moons",1,20261018,180,0.05,"AB_BW_R1_no_interaction","gaussian",0.430302531516515,NA
"interaction_moons",1,20261018,180,0.05,"submitted_normalized_diagnostic","gaussian",0.925976790847037,NA
"interaction_moons",1,20261018,180,0.05,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.05,"legacy_u_dep_interaction","gaussian",0.960962339734392,NA
"interaction_moons",1,20261018,180,0.05,"Gower","gaussian",0.797383976858257,NA
"interaction_moons",1,20261018,180,0.05,"Euclidean_onehot","gaussian",0.797383976858257,NA
"interaction_moons",1,20261018,180,0.05,"AB_BW_R1_interaction","selftune",1,NA
"interaction_moons",1,20261018,180,0.05,"AB_BW_R1_no_interaction","selftune",0.771051950503801,NA
"interaction_moons",1,20261018,180,0.05,"submitted_normalized_diagnostic","selftune",1,NA
"interaction_moons",1,20261018,180,0.05,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.05,"legacy_u_dep_interaction","selftune",1,NA
"interaction_moons",1,20261018,180,0.05,"Gower","selftune",0.511339773204536,NA
"interaction_moons",1,20261018,180,0.05,"Euclidean_onehot","selftune",0.20641034958936,NA
"interaction_moons",1,20261018,180,0.1,"AB_BW_R1_interaction","gaussian",0.948918128356962,NA
"interaction_moons",1,20261018,180,0.1,"AB_BW_R1_no_interaction","gaussian",0.430302531516515,NA
"interaction_moons",1,20261018,180,0.1,"submitted_normalized_diagnostic","gaussian",0.948918128356962,NA
"interaction_moons",1,20261018,180,0.1,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.1,"legacy_u_dep_interaction","gaussian",0.960962339734392,NA
"interaction_moons",1,20261018,180,0.1,"Gower","gaussian",0.797383976858257,NA
"interaction_moons",1,20261018,180,0.1,"Euclidean_onehot","gaussian",0.797383976858257,NA
"interaction_moons",1,20261018,180,0.1,"AB_BW_R1_interaction","selftune",1,NA
"interaction_moons",1,20261018,180,0.1,"AB_BW_R1_no_interaction","selftune",0.771051950503801,NA
"interaction_moons",1,20261018,180,0.1,"submitted_normalized_diagnostic","selftune",1,NA
"interaction_moons",1,20261018,180,0.1,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.1,"legacy_u_dep_interaction","selftune",1,NA
"interaction_moons",1,20261018,180,0.1,"Gower","selftune",0.511339773204536,NA
"interaction_moons",1,20261018,180,0.1,"Euclidean_onehot","selftune",0.20641034958936,NA
"interaction_moons",1,20261018,180,0.2,"AB_BW_R1_interaction","gaussian",0.948918128356962,NA
"interaction_moons",1,20261018,180,0.2,"AB_BW_R1_no_interaction","gaussian",0.430302531516515,NA
"interaction_moons",1,20261018,180,0.2,"submitted_normalized_diagnostic","gaussian",0.948918128356962,NA
"interaction_moons",1,20261018,180,0.2,"u_dep_bw_package","gaussian",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.2,"legacy_u_dep_interaction","gaussian",0.960962339734392,NA
"interaction_moons",1,20261018,180,0.2,"Gower","gaussian",0.797383976858257,NA
"interaction_moons",1,20261018,180,0.2,"Euclidean_onehot","gaussian",0.797383976858257,NA
"interaction_moons",1,20261018,180,0.2,"AB_BW_R1_interaction","selftune",1,NA
"interaction_moons",1,20261018,180,0.2,"AB_BW_R1_no_interaction","selftune",0.771051950503801,NA
"interaction_moons",1,20261018,180,0.2,"submitted_normalized_diagnostic","selftune",1,NA
"interaction_moons",1,20261018,180,0.2,"u_dep_bw_package","selftune",NA,"infinite or missing values in 'x'"
"interaction_moons",1,20261018,180,0.2,"legacy_u_dep_interaction","selftune",1,NA
"interaction_moons",1,20261018,180,0.2,"Gower","selftune",0.511339773204536,NA
"interaction_moons",1,20261018,180,0.2,"Euclidean_onehot","selftune",0.20641034958936,NA
"null_interaction",1,20261018,180,0.05,"AB_BW_R1_interaction","gaussian",0.655979569996137,NA
