"scenario","prop_nn","affinity","method","mean_ARI","median_ARI","sd_ARI","successful_replicates","failed_replicates"
"interaction_moons",0.05,"gaussian","legacy_u_dep_interaction",0.963200552364395,0.960962339734392,0.0225252565542017,8,0
"interaction_moons",0.05,"gaussian","AB_BW_R1_interaction",0.951857356715572,0.948918128356962,0.0307020370092384,8,0
"interaction_moons",0.05,"gaussian","submitted_normalized_diagnostic",0.928079047589225,0.931675778140353,0.0560796670800715,8,0
"interaction_moons",0.05,"gaussian","Euclidean_onehot",0.77563874973695,0.797383976858257,0.0615047902236722,8,0
"interaction_moons",0.05,"gaussian","Gower",0.650179968112874,0.623422159887798,0.0983368741575949,8,0
"interaction_moons",0.05,"gaussian","AB_BW_R1_no_interaction",0.431007662404146,0.423505214777773,0.0276216302833921,8,0
"interaction_moons",0.05,"gaussian","u_dep_bw_package",NA,NA,NA,0,8
"interaction_moons",0.05,"selftune","AB_BW_R1_interaction",1,1,0,8,0
"interaction_moons",0.05,"selftune","legacy_u_dep_interaction",1,1,0,8,0
"interaction_moons",0.05,"selftune","submitted_normalized_diagnostic",1,1,0,8,0
"interaction_moons",0.05,"selftune","AB_BW_R1_no_interaction",0.76706418832649,0.763339404389661,0.0380002619580481,8,0
"interaction_moons",0.05,"selftune","Gower",0.413814695407184,0.389866421004146,0.077204378854666,8,0
"interaction_moons",0.05,"selftune","Euclidean_onehot",0.182624468051463,0.201995667901336,0.0305367304131363,8,0
"interaction_moons",0.05,"selftune","u_dep_bw_package",NA,NA,NA,0,8
"interaction_moons",0.1,"gaussian","legacy_u_dep_interaction",0.961821308760994,0.960962339734392,0.02457687829195,8,0
"interaction_moons",0.1,"gaussian","AB_BW_R1_interaction",0.951857356715572,0.948918128356962,0.0307020370092384,8,0
"interaction_moons",0.1,"gaussian","submitted_normalized_diagnostic",0.928216076718805,0.943146446895315,0.0595074445617853,8,0
"interaction_moons",0.1,"gaussian","Euclidean_onehot",0.77563874973695,0.797383976858257,0.0615047902236722,8,0
"interaction_moons",0.1,"gaussian","Gower",0.650179968112874,0.623422159887798,0.0983368741575949,8,0
"interaction_moons",0.1,"gaussian","AB_BW_R1_no_interaction",0.431007662404146,0.423505214777773,0.0276216302833921,8,0
"interaction_moons",0.1,"gaussian","u_dep_bw_package",NA,NA,NA,0,8
"interaction_moons",0.1,"selftune","AB_BW_R1_interaction",1,1,0,8,0
"interaction_moons",0.1,"selftune","legacy_u_dep_interaction",1,1,0,8,0
"interaction_moons",0.1,"selftune","submitted_normalized_diagnostic",0.998314277104049,1,0.00476794436371334,8,0
"interaction_moons",0.1,"selftune","AB_BW_R1_no_interaction",0.76706418832649,0.763339404389661,0.0380002619580481,8,0
"interaction_moons",0.1,"selftune","Gower",0.413814695407184,0.389866421004146,0.077204378854666,8,0
