"task_key","experiment","condition","state","replicate","active_199","active_499","changed_variables","active_set_jaccard"
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,0,0,0,1
"Simulation_1__reference__null__rep002","Simulation_1","reference","null",2,0,0,0,1
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,0,0,0,1
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,0,0,0,1
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,0,0,0,1
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,1,1,0,1
"Simulation_1__reference__signal__rep002","Simulation_1","reference","signal",2,1,1,0,1
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,1,1,0,1
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,1,1,0,1
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,1,1,0,1
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,2,2,0,1
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,2,2,0,1
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,2,2,0,1
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,2,2,0,1
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,2,2,0,1
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,2,4,2,0.5
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,3,5,2,0.6
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,9,9,0,1
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,6,3,3,0.5
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,7,6,1,0.857142857142857
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,0,0,0,1
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,0,0,0,1
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,0,0,0,1
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,0,0,0,1
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,0,0,0,1
