"task_key","experiment","condition","state","replicate","variable","detected_199","adjusted_p_value_199","statistic_199","detected_499","adjusted_p_value_499","statistic_499","decision_changed"
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,"band",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,"nuisance_1",FALSE,0.275,0.141666666666667,FALSE,0.292,0.141666666666667,FALSE
"Simulation_1__reference__null__rep002","Simulation_1","reference","null",2,"band",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__null__rep002","Simulation_1","reference","null",2,"nuisance_1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,"band",FALSE,0.53,0.111111111111111,FALSE,0.506,0.111111111111111,FALSE
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,"nuisance_1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,"band",FALSE,0.405,0.123456790123457,FALSE,0.36,0.123456790123457,FALSE
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,"nuisance_1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,"band",FALSE,0.88,0.0246913580246912,FALSE,0.892,0.0246913580246912,FALSE
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,"nuisance_1",FALSE,0.765,0.05,FALSE,0.8,0.05,FALSE
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,"band",TRUE,0.005,1,TRUE,0.002,1,FALSE
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,"nuisance_1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__signal__rep002","Simulation_1","reference","signal",2,"band",TRUE,0.005,1,TRUE,0.002,1,FALSE
"Simulation_1__reference__signal__rep002","Simulation_1","reference","signal",2,"nuisance_1",FALSE,0.815,0.05,FALSE,0.822,0.05,FALSE
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,"band",TRUE,0.005,1,TRUE,0.002,1,FALSE
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,"nuisance_1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,"band",TRUE,0.005,0.972222222222222,TRUE,0.002,0.972222222222222,FALSE
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,"nuisance_1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,"band",TRUE,0.005,1,TRUE,0.002,1,FALSE
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,"nuisance_1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,"C1",TRUE,0.005,0.515,TRUE,0.002,0.515,FALSE
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,"C2",TRUE,0.005,0.84,TRUE,0.002,0.84,FALSE
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,"C3",FALSE,0.485,0.0800000000000001,FALSE,0.52,0.0800000000000001,FALSE
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,"C4",FALSE,0.26,0.105,FALSE,0.28,0.105,FALSE
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,"C1",TRUE,0.005,0.56,TRUE,0.002,0.56,FALSE
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,"C2",TRUE,0.005,0.79,TRUE,0.002,0.79,FALSE
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,"C3",FALSE,0.98,0.00499999999999989,FALSE,0.972,0.00499999999999989,FALSE
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,"C4",FALSE,0.445,0.0866666666666667,FALSE,0.398,0.0866666666666667,FALSE
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,"C1",TRUE,0.005,0.595,TRUE,0.002,0.595,FALSE
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,"C2",TRUE,0.005,0.77,TRUE,0.002,0.77,FALSE
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,"C3",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,"C4",FALSE,0.54,0.0750000000000002,FALSE,0.508,0.0750000000000002,FALSE
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,"C1",TRUE,0.005,0.595,TRUE,0.002,0.595,FALSE
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,"C2",TRUE,0.005,0.7375,TRUE,0.002,0.7375,FALSE
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,"C3",FALSE,0.425,0.0833333333333333,FALSE,0.452,0.0833333333333333,FALSE
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,"C4",FALSE,0.56,0.0666666666666667,FALSE,0.606,0.0666666666666667,FALSE
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,"C1",TRUE,0.005,0.535,TRUE,0.002,0.535,FALSE
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,"C2",TRUE,0.005,0.81,TRUE,0.002,0.81,FALSE
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,"C3",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,"C4",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C1",FALSE,0.89,0.130515387467557,FALSE,0.914,0.130515387467557,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C10",FALSE,0.925,0.12118767646055,FALSE,0.946,0.12118767646055,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C11",FALSE,0.02,0.297247706422018,FALSE,0.02,0.297247706422018,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C12",FALSE,0.04,0.267268445839874,FALSE,0.036,0.267268445839874,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C13",FALSE,0.965,0.106120665438996,FALSE,0.982,0.106120665438996,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C14",FALSE,0.015,0.323737226277372,TRUE,0.008,0.323737226277372,TRUE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C15",TRUE,0.005,0.406209292227529,TRUE,0.002,0.406209292227529,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C16",FALSE,0.7,0.15080971659919,FALSE,0.742,0.15080971659919,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C17",FALSE,0.03,0.27950610471132,FALSE,0.026,0.27950610471132,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C18",FALSE,0.02,0.288823529411765,FALSE,0.02,0.288823529411765,FALSE
