"task_key","experiment","condition","state","replicate","data_seed","n","p_numeric","q_categorical","active_count","exact_baseline_recovery","baseline_gated_partition_ARI","interaction_alignment_ratio","interaction_added_mean","final_distance_mean","gated_distance_seconds"
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,360,2,2,1,FALSE,0.531637280627087,NA,1.23297435153904,3.44284850132695,23.619
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,360,2,2,0,TRUE,1,NA,0,2.2098741497879,22.101
"Simulation_1__reference__signal__rep002","Simulation_1","reference","signal",2,26200200,360,2,2,1,FALSE,0.541104202129655,32.1749669115697,1.264384002629,3.50261801122766,25.742
"Simulation_1__reference__null__rep002","Simulation_1","reference","null",2,26200200,360,2,2,0,TRUE,1,NA,0,2.23823400859867,24.244
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,26200300,360,2,2,1,FALSE,0.529107495455491,92.8218384658615,1.25515707126801,3.50816401419408,24.821
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,360,2,2,0,TRUE,1,NA,0,2.25300694292607,23.99
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,360,2,2,1,FALSE,0.605628109309307,21.1064732771956,1.2156663475616,3.44118505625417,22.436
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,360,2,2,0,TRUE,1,NA,0,2.22551870869257,23.376
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,360,2,2,1,FALSE,0.534329038878773,NA,1.2575621737738,3.49253653211437,24.387
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,360,2,2,0,TRUE,1,NA,0,2.23497435834057,24.547
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,500,6,4,2,FALSE,0.33397728598219,3.79388016066462,1.34592608768657,6.65557784210517,56.717
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,500,6,4,2,FALSE,0.260480377911842,4.59444357427459,1.3987195618907,6.70059536836778,55.39
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,500,6,4,2,FALSE,0.253039322727992,4.84623181535895,1.42624985445156,6.71528945758553,51.539
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,500,6,4,2,FALSE,0.242780985846882,5.34604838414454,1.3681850245217,6.63475267307665,53.108
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,500,6,4,2,FALSE,0.283143640895298,4.03584538278448,1.30743928019172,6.61455552852194,54.122
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,360,12,24,4,FALSE,0.749543333663897,1.25436988164946,1.88796739987177,17.8836771954321,234.394
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,360,12,24,0,TRUE,1,NA,0,15.9957097955604,239.04
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,360,12,24,5,FALSE,0.732204746709853,1.24965160532518,1.81907044386919,17.6678489771789,234.778
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,360,12,24,0,TRUE,1,NA,0,15.8487785333097,238.321
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,360,12,24,9,FALSE,0.788478581248808,1.23641135872262,1.89795649549677,17.6756343001096,237.717
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,26400300,360,12,24,0,TRUE,1,NA,0,15.7776778046129,234.928
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,26400400,360,12,24,3,FALSE,0.208058161928991,1.50188467145497,1.70908108790682,17.5067370395894,232.254
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,26400400,360,12,24,0,TRUE,1,NA,0,15.7976559516826,242.584
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,26400500,360,12,24,6,FALSE,0.551158249672097,1.29532760893951,1.86820051334302,18.1924945621806,245.539
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,26400500,360,12,24,0,TRUE,1,NA,0,16.3242940488376,219.826
