"task_key","experiment","condition","state","replicate","data_seed","n","p_numeric","q_categorical","active_count","exact_baseline_recovery","baseline_gated_partition_ARI","interaction_alignment_ratio","interaction_added_mean","final_distance_mean","gated_distance_seconds"
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,360,2,2,1,FALSE,0.531637280627087,NA,1.23297435153904,3.44284850132695,10.262
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,360,2,2,0,TRUE,1,NA,0,2.2098741497879,9.703
"Simulation_1__reference__signal__rep002","Simulation_1","reference","signal",2,26200200,360,2,2,1,FALSE,0.541104202129655,32.1749669115697,1.264384002629,3.50261801122766,11.079
"Simulation_1__reference__null__rep002","Simulation_1","reference","null",2,26200200,360,2,2,0,TRUE,1,NA,0,2.23823400859867,11.935
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,26200300,360,2,2,1,FALSE,0.529107495455491,92.8218384658615,1.25515707126801,3.50816401419408,12.987
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,360,2,2,0,TRUE,1,NA,0,2.25300694292607,12.686
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,360,2,2,1,FALSE,0.605628109309307,21.1064732771956,1.2156663475616,3.44118505625417,9.957
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,360,2,2,0,TRUE,1,NA,0,2.22551870869257,10.233
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,360,2,2,1,FALSE,0.534329038878773,NA,1.2575621737738,3.49253653211437,10.879
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,360,2,2,0,TRUE,1,NA,0,2.23497435834057,10.85
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,500,6,4,2,FALSE,0.33397728598219,3.79388016066462,1.34592608768657,6.65557784210517,24.849
"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2,26300200,500,6,4,2,FALSE,0.260480377911842,4.59444357427459,1.3987195618907,6.70059536836778,23.583
"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3,26300300,500,6,4,2,FALSE,0.253039322727992,4.84623181535895,1.42624985445156,6.71528945758553,23.489
"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4,26300400,500,6,4,2,FALSE,0.242780985846882,5.34604838414454,1.3681850245217,6.63475267307665,23.357
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,500,6,4,2,FALSE,0.283143640895298,4.03584538278448,1.30743928019172,6.61455552852194,24.132
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,360,12,24,2,FALSE,0.375455713147144,1.85733036940628,1.81354555074543,17.8092553463058,105.787
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,360,12,24,0,TRUE,1,NA,0,15.9957097955604,105.163
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,360,12,24,3,FALSE,0.567590935706222,1.64556771378055,1.83668903887449,17.6854675721843,100.983
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,360,12,24,0,TRUE,1,NA,0,15.8487785333097,103.66
"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3,26400300,360,12,24,9,FALSE,0.788478581248808,1.23641135872262,1.89795649549677,17.6756343001096,96.941
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,26400300,360,12,24,0,TRUE,1,NA,0,15.7776778046129,99.153
"Simulation_3__npg120_profile0-35__aligned__rep004","Simulation_3","npg120_profile0.35","aligned",4,26400400,360,12,24,6,FALSE,0.201435198641801,1.31452222922715,1.72134722011668,17.5190031717993,110.317
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,26400400,360,12,24,0,TRUE,1,NA,0,15.7976559516826,110.338
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,26400500,360,12,24,7,FALSE,0.606839141359958,1.24387406717884,1.84225197631198,18.1665460251496,100.301
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,26400500,360,12,24,0,TRUE,1,NA,0,16.3242940488376,94.65
