"variable","detected","adjusted_p_value","statistic","task_key","experiment","condition","state","replicate"
"band",TRUE,0.005,1,"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1
"nuisance_1",FALSE,1,0,"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1
"band",FALSE,1,0,"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1
"nuisance_1",FALSE,0.275,0.141666666666667,"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1
"band",TRUE,0.005,1,"Simulation_1__reference__signal__rep002","Simulation_1","reference","signal",2
"nuisance_1",FALSE,0.815,0.05,"Simulation_1__reference__signal__rep002","Simulation_1","reference","signal",2
"band",FALSE,1,0,"Simulation_1__reference__null__rep002","Simulation_1","reference","null",2
"nuisance_1",FALSE,1,0,"Simulation_1__reference__null__rep002","Simulation_1","reference","null",2
"band",TRUE,0.005,1,"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3
"nuisance_1",FALSE,1,0,"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3
"band",FALSE,0.53,0.111111111111111,"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3
"nuisance_1",FALSE,1,0,"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3
"band",TRUE,0.005,0.972222222222222,"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4
"nuisance_1",FALSE,1,0,"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4
"band",FALSE,0.405,0.123456790123457,"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4
"nuisance_1",FALSE,1,0,"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4
"band",TRUE,0.005,1,"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5
"nuisance_1",FALSE,1,0,"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5
"band",FALSE,0.88,0.0246913580246912,"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5
"nuisance_1",FALSE,0.765,0.05,"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5
"C1",TRUE,0.005,0.515,"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1
"C2",TRUE,0.005,0.84,"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1
"C3",FALSE,0.485,0.0800000000000001,"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1
"C4",FALSE,0.26,0.105,"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1
"C1",TRUE,0.005,0.56,"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2
"C2",TRUE,0.005,0.79,"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2
"C3",FALSE,0.98,0.00499999999999989,"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2
"C4",FALSE,0.445,0.0866666666666667,"Simulation_2__n500__interaction__rep002","Simulation_2","n500","interaction",2
"C1",TRUE,0.005,0.595,"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3
"C2",TRUE,0.005,0.77,"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3
"C3",FALSE,1,0,"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3
"C4",FALSE,0.54,0.0750000000000002,"Simulation_2__n500__interaction__rep003","Simulation_2","n500","interaction",3
"C1",TRUE,0.005,0.595,"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4
"C2",TRUE,0.005,0.7375,"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4
"C3",FALSE,0.425,0.0833333333333333,"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4
"C4",FALSE,0.56,0.0666666666666667,"Simulation_2__n500__interaction__rep004","Simulation_2","n500","interaction",4
"C1",TRUE,0.005,0.535,"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5
"C2",TRUE,0.005,0.81,"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5
"C3",FALSE,1,0,"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5
"C4",FALSE,1,0,"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5
"C1",FALSE,0.89,0.130515387467557,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C2",FALSE,0.045,0.263154492566257,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C3",FALSE,0.02,0.303030303030303,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C4",FALSE,0.89,0.130906128587542,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C5",FALSE,0.035,0.270991847826087,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C6",FALSE,0.045,0.266336818521284,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C7",FALSE,0.96,0.113839285714286,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C8",FALSE,0.035,0.272344773697181,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C9",FALSE,0.015,0.320625610948192,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C10",FALSE,0.925,0.12118767646055,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C11",FALSE,0.02,0.297247706422018,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C12",FALSE,0.04,0.267268445839874,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C13",FALSE,0.965,0.106120665438996,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C14",FALSE,0.015,0.323737226277372,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C15",TRUE,0.005,0.406209292227529,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C16",FALSE,0.7,0.15080971659919,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C17",FALSE,0.03,0.27950610471132,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C18",FALSE,0.02,0.288823529411765,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C19",FALSE,0.975,0.10125,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C20",TRUE,0.005,0.357464647728695,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C21",FALSE,0.02,0.28423256256542,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C22",FALSE,0.255,0.200152983171851,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C23",FALSE,0.055,0.244409937888199,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C24",FALSE,0.905,0.125252525252525,"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1
"C1",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C2",FALSE,0.99,0.102197802197802,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C3",FALSE,1,0.0598522538821045,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C4",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C5",FALSE,0.93,0.119991987179487,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C6",FALSE,1,0.0466424682395645,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C7",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C8",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C9",FALSE,1,0.0387205387205387,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C10",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C11",FALSE,1,0.0453278967040434,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C12",FALSE,0.75,0.150145523026879,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C13",FALSE,1,0.0914510440400762,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C14",FALSE,0.995,0.0924379562043796,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C15",FALSE,0.99,0.0940078158923146,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C16",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C17",FALSE,1,0.0535972959922741,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C18",FALSE,0.935,0.116892911010558,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C19",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C20",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C21",FALSE,0.16,0.233504114267971,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C22",FALSE,1,0.0660377358490565,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C23",FALSE,1,0.0595238095238095,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C24",FALSE,0.19,0.227304964539007,"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1
"C1",FALSE,0.83,0.136123680241327,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C2",FALSE,0.175,0.219035829722853,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C3",FALSE,0.015,0.288066701406983,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C4",FALSE,1,0.0827316390470436,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C5",TRUE,0.01,0.340494021810537,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C6",FALSE,0.735,0.147213690215007,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C7",FALSE,0.875,0.129464285714286,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C8",FALSE,0.445,0.179930303676837,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C9",FALSE,0.035,0.261377488825681,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C10",FALSE,1,0.0457697642163661,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C11",FALSE,0.07,0.240527411519778,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C12",TRUE,0.01,0.335387718511878,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C13",FALSE,0.685,0.155990159135499,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C14",FALSE,0.175,0.217671809256662,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C15",FALSE,0.015,0.32780612244898,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C16",FALSE,1,0.0648653827728274,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C17",TRUE,0.01,0.349521002210759,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C18",FALSE,0.035,0.25456301303718,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C19",FALSE,0.89,0.124942041977064,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C20",FALSE,0.175,0.218383311603651,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C21",FALSE,0.02,0.277552459883618,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C22",FALSE,0.975,0.107562192137303,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C23",FALSE,0.015,0.327864406779661,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C24",FALSE,0.215,0.210881835847136,"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2
"C1",FALSE,0.99,0.0976621417797889,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C2",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C3",FALSE,0.87,0.134393767245577,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C4",FALSE,0.955,0.117529183498203,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C5",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C6",FALSE,0.96,0.111664820967146,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C7",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C8",FALSE,1,0.0777327359362776,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C9",FALSE,1,0.055952380952381,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C10",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C11",FALSE,1,0.0141766630316249,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C12",FALSE,1,0.0652173913043477,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C13",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C14",FALSE,1,0.0285257264729406,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C15",FALSE,0.995,0.0959617889709077,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C16",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C17",FALSE,1,0.0220872814626984,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C18",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C19",FALSE,1,0.0185774782850607,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C20",FALSE,1,0.0207156308851224,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C21",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C22",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C23",FALSE,1,0.0755932203389831,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C24",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2
"C1",FALSE,1,0.0063690230995912,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C2",TRUE,0.005,0.380978865406007,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C3",TRUE,0.005,0.362307692307692,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C4",FALSE,0.965,0.116550116550117,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C5",TRUE,0.005,0.362556561085973,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C6",TRUE,0.005,0.331276595744681,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C7",FALSE,1,0.0131153895852176,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C8",FALSE,0.045,0.281512605042017,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C9",FALSE,0.565,0.165811965811966,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C10",FALSE,0.535,0.168383028613074,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C11",FALSE,0.045,0.277754415475189,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C12",TRUE,0.005,0.351340206185567,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C13",FALSE,1,0.09125,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C14",TRUE,0.005,0.315789473684211,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
"C15",TRUE,0.005,0.352346083437711,"Simulation_3__npg120_profile0-35__aligned__rep003","Simulation_3","npg120_profile0.35","aligned",3
