"experiment","condition","state","replicate","ARI.Gated_active_average_SC","ARI.Package_no_interaction_SC","gated_minus_baseline"
"Simulation_1","reference","signal",1,0.903608745979847,0.484848900669052,0.418759845310795
"Simulation_1","reference","null",1,0.484848900669052,0.484848900669052,0
"Simulation_1","reference","signal",2,0.857055306470444,0.463395526732482,0.393659779737962
"Simulation_1","reference","null",2,0.463395526732482,0.463395526732482,0
"Simulation_1","reference","signal",3,0.892351700757345,0.470779318080031,0.421572382677314
"Simulation_1","reference","null",3,0.470779318080031,0.470779318080031,0
"Simulation_1","reference","signal",4,0.843957138237551,0.519804665256139,0.324152472981412
"Simulation_1","reference","null",4,0.519804665256139,0.519804665256139,0
"Simulation_1","reference","signal",5,0.917341768493267,0.474988927757879,0.442352840735388
"Simulation_1","reference","null",5,0.474988927757879,0.474988927757879,0
"Simulation_2","n500","interaction",1,0.644562227317978,0.266003352110107,0.37855887520787
"Simulation_2","n500","interaction",2,0.82188912288191,0.252696210447726,0.569192912434183
"Simulation_2","n500","interaction",3,0.857785148030803,0.249597604401972,0.608187543628831
"Simulation_2","n500","interaction",4,0.832311542676226,0.23520333604427,0.597108206631956
"Simulation_2","n500","interaction",5,0.614598450024314,0.257661270622118,0.356937179402196
"Simulation_3","npg120_profile0.35","aligned",1,0.241826589664867,0.357932135405565,-0.116105545740698
"Simulation_3","npg120_profile0.35","decoupled",1,0.304480830292634,0.304480830292634,0
"Simulation_3","npg120_profile0.35","aligned",2,0.230543854070392,0.365427980880346,-0.134884126809954
"Simulation_3","npg120_profile0.35","decoupled",2,0.349025034375887,0.349025034375887,0
"Simulation_3","npg120_profile0.35","aligned",3,0.484961286089047,0.460615556620875,0.0243457294681719
"Simulation_3","npg120_profile0.35","decoupled",3,0.379592871591467,0.379592871591467,0
"Simulation_3","npg120_profile0.35","aligned",4,0.497697486770185,0.223577300854528,0.274120185915657
"Simulation_3","npg120_profile0.35","decoupled",4,0.184444791564517,0.184444791564517,0
"Simulation_3","npg120_profile0.35","aligned",5,0.49119522102971,0.378474757769564,0.112720463260146
"Simulation_3","npg120_profile0.35","decoupled",5,0.318703952925411,0.318703952925411,0
