"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Gated_active_average_SC","Gated active average",1,0.903608745979847,3.7950080747388,67.6099219210952,3,0,0.00899999999999856,0.131,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Package_no_interaction_SC","Package no interaction",1,0.484848900669052,2.14799150878254,91.5223223829848,4,0,0.0109999999999992,0.117000000000001,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Gower_SC","Gower",1,0.19860049597079,0.477011478121935,94.2552610510686,3,0,0.172000000000001,0.077,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Modified_Gower_SC","Modified Gower",1,0.603083508044035,0.571070267973962,80.0997326171872,2,0,1.05,0.106999999999999,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.509633706911344,4.14758008415218,84.437429610079,2,0,0.347,0.0770000000000017,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"DKSS_SC","DKSS",1,0.370489626661484,0.964418148644263,82.1413757224558,4,0,3.718,0.0839999999999996,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"KPrototypes","k-prototypes",NA,0.470984221842412,NA,196.426623433653,13,NA,NA,15.008,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Gated_active_average_SC","Gated active average",1,0.484848900669052,2.14799150878254,91.5223223829848,4,0,0.00399999999999778,0.664999999999999,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Package_no_interaction_SC","Package no interaction",1,0.484848900669052,2.14799150878254,91.5223223829848,4,0,0.00800000000000267,0.175000000000004,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Gower_SC","Gower",1,0.0037607925709489,0.46918482477621,91.6920454492128,2,0,0.112000000000002,0.226999999999997,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Modified_Gower_SC","Modified Gower",1,0.508781057756211,0.609273431940134,70.7411371633783,3,0,0.567999999999998,0.191000000000003,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.0037607925709489,4.0982210742842,89.4472015424244,2,0,0.634,0.166000000000004,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"DKSS_SC","DKSS",1,0.000136323478040848,0.850665364387568,88.6774293559473,3,0,5,0.311,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"KPrototypes","k-prototypes",NA,0.275088300890221,NA,257.661783802502,7,NA,NA,11.498,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gated_active_average_SC","Gated active average",1,0.644562227317978,5.89452051832023,56.3872822584285,2,0,0.0249999999999915,0.293999999999997,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Package_no_interaction_SC","Package no interaction",1,0.266003352110107,4.96101147826534,53.7945030885864,2,0,0.0120000000000005,0.197000000000003,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gower_SC","Gower",1,0.264285408882012,0.307674117460881,46.8460503195616,3,0,1.315,0.188999999999993,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Modified_Gower_SC","Modified Gower",1,0.696647277419647,0.567640972761275,35.1888428512009,3,0,1.497,0.180000000000007,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.265558143133555,5.36529408263446,55.1299819865052,3,0,0.483999999999995,0.179999999999993,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"DKSS_SC","DKSS",1,0.932719280932193,0.635785856288461,52.6277371641165,2,0,15.034,0.192999999999998,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"KPrototypes","k-prototypes",NA,0.360871159926866,NA,22388.9795809486,8,NA,NA,10.891,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Gated_active_average_SC","Gated active average",1,0.241826589664867,17.7352055587293,76.0046615033679,3,0,0.00399999999999068,0.120999999999981,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Package_no_interaction_SC","Package no interaction",1,0.357932135405565,15.9022524145545,64.6767986990137,2,0,0.007000000000005,0.0759999999999934,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Gower_SC","Gower",1,0.438440821423279,0.497012050647234,69.2900936260895,3,0,0.376000000000005,0.092000000000013,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Modified_Gower_SC","Modified Gower",1,0.426871347922434,0.448165341906708,70.0441580260537,3,0,1.55199999999999,0.0860000000000127,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.491395705973133,13.0529243151951,63.061083819011,2,0,1.12800000000001,0.0879999999999939,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"DKSS_SC","DKSS",1,0.452574641947242,0.651915774600069,66.8274666992057,2,0,59.425,0.13300000000001,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"KPrototypes","k-prototypes",NA,0.594542217964534,NA,10168.9544142353,10,NA,NA,12.881,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Gated_active_average_SC","Gated active average",1,0.304480830292634,15.8779101257943,67.3053003701373,2,0,0.0189999999999486,0.175000000000011,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Package_no_interaction_SC","Package no interaction",1,0.304480830292634,15.8779101257943,67.3053003701373,2,0,0.00300000000004275,0.149000000000001,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Gower_SC","Gower",1,-0.0002753561935288,0.496282583297788,70.9044207896885,2,0,0.139999999999986,0.149000000000001,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Modified_Gower_SC","Modified Gower",1,5.35777982145349e-05,0.445260929115477,71.3193127701004,3,0,1.42099999999999,0.146000000000015,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Euclidean_onehot_SC","Euclidean one-hot",1,-0.000724597480658714,13.0399369032221,66.1618164782575,3,0,0.740000000000009,0.104999999999961,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"DKSS_SC","DKSS",1,-0.0019875951741275,0.639660232434684,66.0827483268773,3,0,77.171,0.175000000000011,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"KPrototypes","k-prototypes",NA,0.00466395511913276,NA,10600.2945889283,12,NA,NA,21.89,NA
