"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Gated_active_average_SC","Gated active average",1,0.903608745979847,3.7950080747388,67.6099219210952,3,0,0.00900000000000034,0.132999999999999,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Package_no_interaction_SC","Package no interaction",1,0.484848900669052,2.14799150878254,91.5223223829848,4,0,0.00300000000000011,0.0860000000000003,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Gower_SC","Gower",1,0.19860049597079,0.477011478121935,94.2552610510686,3,0,0.0960000000000001,0.0730000000000004,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Modified_Gower_SC","Modified Gower",1,0.603083508044035,0.571070267973962,80.0997326171872,2,0,0.285,0.077,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.509633706911344,4.14758008415218,84.437429610079,2,0,0.120000000000001,0.0749999999999993,NA
"Simulation_1__reference__signal__rep001","Simulation_1","reference","signal",1,26200100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.801421914369057,0.145175907873617,87.745248413345,3,0,0.0510000000000002,0.0790000000000006,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Gated_active_average_SC","Gated active average",1,0.484848900669052,2.14799150878254,91.5223223829848,4,0,0.0129999999999999,0.106,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Package_no_interaction_SC","Package no interaction",1,0.484848900669052,2.14799150878254,91.5223223829848,4,0,0.00300000000000011,0.0779999999999994,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Gower_SC","Gower",1,0.0037607925709489,0.46918482477621,91.6920454492128,2,0,0.0609999999999999,0.0739999999999998,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Modified_Gower_SC","Modified Gower",1,0.508781057756211,0.609273431940134,70.7411371633783,3,0,0.323,0.0810000000000013,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.0037607925709489,4.0982210742842,89.4472015424244,2,0,0.0869999999999997,0.0809999999999995,NA
"Simulation_1__reference__null__rep001","Simulation_1","reference","null",1,26200100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.609010990267749,0.0210261872733189,109.947806091793,3,0,0.0180000000000007,0.0820000000000007,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gated_active_average_SC","Gated active average",1,0.644562227317978,5.89452051832023,56.3872822584285,2,0,0.00900000000000034,0.173000000000002,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Package_no_interaction_SC","Package no interaction",1,0.266003352110107,4.96101147826534,53.7945030885864,2,0,0.00499999999999545,0.173000000000002,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gower_SC","Gower",1,0.264285408882012,0.307674117460881,46.8460503195616,3,0,0.109000000000002,0.205999999999996,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Modified_Gower_SC","Modified Gower",1,0.696647277419647,0.567640972761275,35.1888428512009,3,0,1.105,0.227999999999994,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.265558143133555,5.36529408263446,55.1299819865052,3,0,0.420999999999999,0.204999999999998,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.389585795145947,0.0627722512270358,13.3993972100782,2,0,0.044000000000004,0.193000000000005,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Gated_active_average_SC","Gated active average",1,0.241826589664867,17.7352055587293,76.0046615033679,3,0,0.00300000000000011,0.0760000000000076,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Package_no_interaction_SC","Package no interaction",1,0.357932135405565,15.9022524145545,64.6767986990137,2,0,0.0120000000000005,0.0660000000000025,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Gower_SC","Gower",1,0.438440821423279,0.497012050647234,69.2900936260895,3,0,0.106000000000009,0.070999999999998,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Modified_Gower_SC","Modified Gower",1,0.426871347922434,0.448165341906708,70.0441580260537,3,0,1.246,0.0710000000000122,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.491395705973133,13.0529243151951,63.061083819011,2,0,0.939999999999998,0.0619999999999976,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.41892902653349,0.533051133948521,65.6575951473975,3,0,0.244,0.0760000000000076,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Gated_active_average_SC","Gated active average",1,0.304480830292634,15.8779101257943,67.3053003701373,2,0,0.00300000000001432,0.0660000000000025,NA
