"replicate","data_seed","arm","active_count","active_names","minimum_adjusted_p","exact_baseline_recovery","baseline_gated_partition_ARI","interaction_alignment_ratio"
1,26092501,"aligned",13,"C2;C3;C5;C6;C8;C9;C12;C15;C17;C18;C21;C23;C24",0.005,FALSE,0.56501854665263,1.28027033166401
1,26092501,"decoupled",0,"",0.225,TRUE,1,NA
2,26092601,"aligned",13,"C2;C3;C5;C6;C9;C11;C12;C15;C17;C18;C21;C23;C24",0.005,FALSE,0.775385646322725,1.29129906648259
2,26092601,"decoupled",0,"",0.95,TRUE,1,NA
3,26092701,"aligned",14,"C2;C5;C6;C8;C9;C10;C11;C12;C14;C17;C18;C20;C21;C23",0.005,FALSE,0.823803915164142,1.27466937998906
3,26092701,"decoupled",0,"",0.75,TRUE,1,NA
4,26092801,"aligned",5,"C2;C6;C12;C14;C21",0.005,FALSE,0.578263947214376,1.371651020409
4,26092801,"decoupled",0,"",0.95,TRUE,1,NA
5,26092901,"aligned",12,"C3;C5;C6;C8;C9;C12;C15;C17;C18;C21;C23;C24",0.005,FALSE,0.69112163337713,1.30484806112068
5,26092901,"decoupled",0,"",0.57,TRUE,1,NA
