"replicate","data_seed","arm","regime_truth_ARI","association_matrix_separation","mean_marginal_deviation","max_marginal_deviation"
1,26092501,"aligned",1,6.30332929873131,0.217476851851852,0.344444444444444
1,26092501,"decoupled",-0.00560224089635851,1.9102082717595,0.0288194444444444,0.0861111111111111
2,26092601,"aligned",1,6.24485684156811,0.209143518518519,0.294444444444444
2,26092601,"decoupled",-0.00560224089635851,2.41913170130383,0.0405478395061728,0.0916666666666666
3,26092701,"aligned",1,6.21455995492478,0.209529320987654,0.313888888888889
3,26092701,"decoupled",-0.00560224089635851,2.21048122812803,0.0339506172839506,0.0944444444444445
4,26092801,"aligned",1,6.25947670096465,0.20883487654321,0.3
4,26092801,"decoupled",-0.00560224089635851,2.18676745111621,0.0369598765432099,0.0916666666666666
5,26092901,"aligned",1,6.4437633069763,0.218672839506173,0.330555555555556
5,26092901,"decoupled",-0.00560224089635851,2.30665246730871,0.0364197530864198,0.0805555555555556
